image_id,label,split,num_annot,set_id,video_id,frame_id
set00_V001_0043,"0 0.9132596380002878 0.40396814269354026 0.033100309107358686 0.15682328947500396
",train,1,set00,V001,43
set00_V001_0044,"0 0.9201749299762035 0.40417785997183425 0.03288458809338018 0.1581873246804563
",train,1,set00,V001,44
set00_V001_0045,"0 0.9272476390096147 0.4043875772501283 0.032668867079401566 0.15955135988590868
",train,1,set00,V001,45
set00_V001_0046,"0 0.9336984094848542 0.4093106823792465 0.03279552977316698 0.1705298069585867
",train,1,set00,V001,46
set00_V001_0047,"0 0.9406430902087917 0.41283289921316346 0.03215564242886584 0.17872091099206056
",train,1,set00,V001,47
set00_V001_0048,"0 0.9485755914301252 0.41355333945667805 0.02998265500843207 0.1813373289471262
",train,1,set00,V001,48
set00_V001_0049,"0 0.9565080926514586 0.41427377970019275 0.0278096675879981 0.18395374690219188
",train,1,set00,V001,49
set00_V001_0050,"0 0.9615773899276236 0.41499421994370733 0.03136308805790158 0.1865701648572576
",train,1,set00,V001,50
set00_V001_0358,"0 0.7224741502873769 0.3844716783154759 0.03845425565883791 0.15643091625472055
",train,1,set00,V001,358
set00_V001_0359,"0 0.7270552700698044 0.3838363611736915 0.038458805124884886 0.15827468584186785
",train,1,set00,V001,359
set00_V001_0360,"0 0.7317475468021951 0.38316411023597224 0.03844872750065064 0.16015376362312778
",train,1,set00,V001,360
set00_V001_0361,"0 0.7365509804845494 0.3824549255023181 0.03842402278613516 0.16206814959850036
",train,1,set00,V001,361
set00_V001_0362,"0 0.7414655711168667 0.3817088069727289 0.03838469098133847 0.16401784376798562
",train,1,set00,V001,362
set00_V001_0363,"0 0.7464913186991476 0.3809257546472048 0.03833073208626053 0.16600284613158353
",train,1,set00,V001,363
set00_V001_0364,"0 0.7516282232313918 0.3801057685257457 0.03826214610090139 0.16802315668929407
",train,1,set00,V001,364
set00_V001_0365,"0 0.7568762847135991 0.3792488486083518 0.038178933025261 0.17007877544111727
",train,1,set00,V001,365
set00_V001_0366,"0 0.7622355031457699 0.3783549948950229 0.038081092859339395 0.17216970238705312
",train,1,set00,V001,366
set00_V001_0367,"0 0.7677058785279041 0.37742420738575894 0.03796862560313657 0.17429593752710162
",train,1,set00,V001,367
set00_V001_0368,"0 0.7732874108600015 0.37645648608056015 0.0378415312566525 0.1764574808612628
0 0.8052275192760577 0.3840885325502901 0.030641523841205488 0.15719345038107846
",train,2,set00,V001,368
set00_V001_0369,"0 0.7789801001420624 0.3754518309794264 0.037699809819887214 0.17865433238953662
0 0.810743469886729 0.3835879880367052 0.02968195642079427 0.15942089978262788
",train,2,set00,V001,369
set00_V001_0370,"0 0.7847839463740867 0.3744102420823578 0.037543461292840696 0.1808864921119231
0 0.8160545133369865 0.38301823287207326 0.021076587614482813 0.16149753006727283
",train,2,set00,V001,370
